,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,timestamp,type,under_pressure
27,,,,,,,,,,,,,,,,,,0.87059,,,,,,,,,,,,,49547d30-646e-49b1-b196-9139ec612883,79,,"[84.3, 77.7]",3773369,0,,,,,-2.809533,,Right Foot,,"[78.5, 75.7]",,Ground Pass,,6.1351447,,,,,Lionel Andrés Messi Cuccittini,,,,,,,1,From Kick Off,Sergino Dest,21881.0,Right Wing Back,2,Barcelona,217,"['307fdcd2-6b9d-405e-b053-494b2f02087f', '56234b99-3ebe-4326-a262-495ae4fbb0f1']",50,,,,,,,,,,,,,,,,Barcelona,00:00:50.384,Pass,True
28,,,,,,,,,,,,,,,,,,0.625196,,,,,,,,,,,,,9e651f2b-500a-4012-a269-d6c52fce5482,82,,"[78.0, 74.9]",3773369,0,,,,,-0.3876696,,Left Foot,,"[90.0, 70.0]",,Ground Pass,,12.961867,,,,,Sergio Busquets i Burgos,,,,,,,1,From Kick Off,Lionel Andrés Messi Cuccittini,5503.0,Right Attacking Midfield,2,Barcelona,217,['0a73685a-8ee3-4bcd-ad2a-c3fe5da98b26'],52,,,,,,,,,,,,,,,,Barcelona,00:00:52.058,Pass,
29,,,,,,,,,,,,,,,,,,1.043267,,,,,,,,,,,,,7efa0490-1f23-4a9d-94d9-48d1d2765f54,86,,"[89.7, 68.5]",3773369,0,,,,,-2.3561945,,Right Foot,,"[84.9, 63.7]",,Ground Pass,,6.788225,,,,,Sergino Dest,,,,,,,1,From Kick Off,Sergio Busquets i Burgos,5203.0,Right Defensive Midfield,2,Barcelona,217,"['79da814b-7f38-44ef-9550-b5213850446b', 'f247e34b-ddba-4315-bc97-b4f495d9e9aa']",53,,,,,,,,,,,,,,,,Barcelona,00:00:53.273,Pass,True
30,,,,,,,,,,,,,,,,,,1.280239,,,,,,,,,,,,,b0f9271d-b588-4a64-b25f-4ead00ea509e,89,,"[85.2, 63.7]",3773369,0,,,,,-1.1538982,,Right Foot,,"[88.3, 56.7]",,Ground Pass,,7.655717,,,,,Lionel Andrés Messi Cuccittini,,,,,,,1,From Kick Off,Sergino Dest,21881.0,Right Wing Back,2,Barcelona,217,['bfdb5114-a250-47d2-bdad-2a9cb6b9440f'],54,,,,,,,,,,,,,,,,Barcelona,00:00:54.556,Pass,
31,,,,,,,,,,,,,,,,,,0.599597,,,,,,,,,,,,,fa65435f-33a1-4e4a-a6c1-641d6a8c06bf,94,,"[88.9, 57.3]",3773369,0,,,,,-0.46942788,,Left Foot,,"[95.8, 53.8]",,Ground Pass,,7.7369246,,,,,Ousmane Dembélé,,,,,,,1,From Kick Off,Lionel Andrés Messi Cuccittini,5503.0,Right Attacking Midfield,2,Barcelona,217,"['7fcf17af-e7bc-4961-b5f2-9264e548a0bf', '8f294964-0960-4bc2-b1a8-613bc88fa3ad']",55,,,,,,,,,,,,,,,,Barcelona,00:00:55.862,Pass,True
32,,,,,,,,,,,,,,,,,,0.730679,,,,,,,,,,,,,51194f84-ca24-4624-b81d-900d7514d154,97,,"[96.1, 52.2]",3773369,0,,,,,-1.7221718,,Right Foot,,"[95.2, 46.3]",,Ground Pass,,5.9682493,,,,,Lionel Andrés Messi Cuccittini,,,,,,,1,From Kick Off,Ousmane Dembélé,5477.0,Center Forward,2,Barcelona,217,['8ea1ee93-1667-4217-816e-153f5f61821c'],56,,,,,,,,,,,,,,,,Barcelona,00:00:56.581,Pass,
33,,,,,,,,,,,,,,,,,,1.136636,,,,,,,,,,,,,6326c322-e937-4fb7-a800-765a7727afc2,105,,"[23.4, 47.0]",3773369,0,,,,,2.6011732,,Right Foot,,"[13.4, 53.0]",,Ground Pass,,11.661903,,,,,Pablo Maffeo Becerra,,,,,,,1,From Kick Off,David Ferreiro Quiroga,11670.0,Right Center Midfield,2,Barcelona,217,['c5d41206-f70d-4819-af83-5fc4614f2084'],59,,,,,,,,,,,,,,,,Huesca,00:00:59.779,Pass,
34,,,,,,,,,,,,,,,,,,5.336865,,,,,,,,,,,,,ca8933d3-bdad-4fbc-9ba7-2e433e31a808,109,,"[13.4, 53.3]",3773369,1,,,,,-0.87976724,,Right Foot,,"[57.4, 0.1]",,High Pass,,69.037964,,,Out,,Rafael Mir Vicente,,,True,,,,1,From Kick Off,Pablo Maffeo Becerra,6564.0,Right Wing Back,2,Barcelona,217,"['230a1b9d-bb0a-4b68-b7dc-f4abacfe9e23', 'a0717f19-8064-4803-8ed0-31c303e57fe8']",0,,,,,,,,,,,,,,,,Huesca,00:01:00.995,Pass,True
35,,,,,,,,,,,,,,,,,,1.594122,,,,,,,,,,,,,77a06504-f5bf-4bda-b1cb-e7922d65409d,111,,"[64.3, 80.0]",3773369,1,,True,,,-2.692507,,,,"[56.0, 76.0]",,Low Pass,,9.213577,,,,,Óscar Mingueza García,,,,,,Throw-in,1,From Throw In,Sergino Dest,21881.0,Right Wing Back,3,Barcelona,217,['7dd1ef57-60cc-4317-b2b1-5e1369c82e6d'],8,,,,,,,,,,,,,,,,Barcelona,00:01:08.151,Pass,
36,,,,,,,,,,,,,,,,,,0.771664,,,,,,,,,,,,,0bccd96a-79ba-437c-a00e-4695ff71549d,113,,"[55.8, 73.7]",3773369,1,,,,,-1.9311543,,Right Foot,,"[50.6, 59.9]",,Ground Pass,,14.747203,,,,,Frenkie de Jong,,,,,,,1,From Throw In,Óscar Mingueza García,43728.0,Right Center Back,3,Barcelona,217,['a1d48e49-578e-43eb-bc95-4edb2cfdfdbf'],10,,,,,,,,,,,,,,,,Barcelona,00:01:10.365,Pass,
